Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
UD Depot Bunga Ryan,Tanaman Dan Bunga Hias,540,720,2,Usaha Dagang (UD),Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,102,540,7,LAYAK
Petani Cabai Merah Pak Indra,Cabai Merah,50,240,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,50,7,TIDAK LAYAK
Watawa Sau Bil Haq,Udang Mantis,449,96,20,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,0,449,9,TIDAK LAYAK
Kub Berkat Usaha,Ikan Segar,389,184,20,Lainnya,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,389,10,TIDAK LAYAK
Kub Rizqi,Ikan Segar,469,26,22,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,0,469,7,TIDAK LAYAK
Peternak Ayam Pak Bisuni,Ayam Pedaging,1120,1536,7,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,20,1120,8,LAYAK
Ubi Daun Samsinar,Daun Singkong,515,75,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,515,6,TIDAK LAYAK
Bundo Flower's,Tanaman Hias,50,180,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,50,6,TIDAK LAYAK
UD Mitra Utama,Batako,3210,840,4,Usaha Dagang (UD),Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,3210,10,LAYAK
Marca Flawers,Tanaman Hias,141,480,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,141,7,LAYAK
Yetri Jaya Flawers,Tanaman Hias,5506,840,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,450,5506,7,LAYAK
UD Flora Agro Lestari,Tanaman Hias Dan Bibit,300,240,2,Usaha Dagang (UD),Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,300,7,TIDAK LAYAK
Rawang Ujo Lamo,Padi Kering Giling,1540,1080,42,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,1540,8,LAYAK
Ternak Ayam Potong Pak Bismo,Ayam Pedaging,1160,768,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,400,1160,7,LAYAK
Petani Cabai Bang Doel,Cabai,175,128,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,174,4,TIDAK LAYAK
Maju Tani Makmur,Bibit. Pupuk. Pestisida,12,600,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,108,12,3,TIDAK LAYAK
Usaha Baru,Beras Giling,4664,720,54,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,270,4664,8,LAYAK
Petani Cabai Pak Sunaryo,Cabai Merah,195,240,8,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,120,195,7,TIDAK LAYAK
Petani Semangka Andi,Semangka Non Biji,450,450,30,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,210,450,7,LAYAK
Kebun Jagung Daulat Manalu,Jagung Pipil Kering,151,168,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 30 %,0,48,151,4,TIDAK LAYAK
Bina Tani,Jagung Pipil Kering,660,840,50,Lainnya,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 20 %,0,360,660,7,LAYAK
Kolam Ikan Pak Ruli,Ikan Nila,121,126,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,121,6,TIDAK LAYAK
Mekar Tani,Tepung Kopi,58,48,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,58,2,TIDAK LAYAK
Usaha Mandiri Jamur,Jamur,720,168,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,45,720,8,TIDAK LAYAK
Vani Garden,Bibit,70,180,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,200,70,6,TIDAK LAYAK
Jamur Tiram Tibo Urip,Jamur Tiram,45,72,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,50,45,6,TIDAK LAYAK
Ternak Bebek Fahrudin,Bebek Pedaging,210,94,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,24,210,7,TIDAK LAYAK
Ternak Ayam Potong Pak Bismo,Ayam Pedaging,1160,768,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,400,1160,7,LAYAK
Usaha Baru,Beras Giling,4664,720,54,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,270,4664,8,LAYAK
Sero,Ikan Segar,8,72,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,8,4,TIDAK LAYAK
Ayam Potong Patta,Ayam,26,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,26,6,TIDAK LAYAK
Garang Tawayya,Ikan,3,45,6,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,3,5,TIDAK LAYAK
Ternak Sapi Agus Salim,Sapi,12,30,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,12,12,6,TIDAK LAYAK
Kenari,Kenari,40,24,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,6,40,4,TIDAK LAYAK
Perkebunan Kenari Ahmad Darlin,Kenari,180,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,4,180,7,TIDAK LAYAK
Usaha Ternak Kambing Ibu Herlina,Kambing,85,36,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,85,7,TIDAK LAYAK
Sero' Petta Cora,Ikan,183,33,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,183,6,TIDAK LAYAK
Sadaruddin Sayur,Sayur,381,60,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,56,381,10,TIDAK LAYAK
Nasir Tani Sayur,Sayur Kubis & Brokoli,150,36,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,8,150,8,TIDAK LAYAK
Simen Tani Jagung,Jagung,167,24,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,7,167,7,TIDAK LAYAK
Petani Sayur,Sawi. Terong. Buncis. Bayam,5,10,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,6,5,4,TIDAK LAYAK
Petani Cokelat,Cokelat Kering,50,28,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,50,4,TIDAK LAYAK
Petani Kedelai,Kedelai,57,38,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,57,7,TIDAK LAYAK
Petani Kedelai Lasiman,Kedelai,57,43,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,57,6,TIDAK LAYAK
Heri Kios Burung,Burung Dan Pakan,13,216,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,13,4,TIDAK LAYAK
Resma Tani,Barang Pertanian,150,252,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,150,6,TIDAK LAYAK
Pembibitan Sayur Pak Sutris,Bibit Sayur,233,864,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,48,223,6,LAYAK
Marida Pisang,Hasil Bumi (Pisang),160,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,160,6,TIDAK LAYAK
Pengepul Sayur,Sayur,65,720,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,65,7,LAYAK
Ayam Petelur,Telur,120,200,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,120,6,TIDAK LAYAK
Kaisa Mandiri,Ikan Lele,7,45,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,7,6,TIDAK LAYAK
Kios Kinti Tani Mandiri,Alat Pertanian,700,468,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,700,8,LAYAK
Warung Sembako Firly,Sembako,278,36,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,278,8,TIDAK LAYAK
PT S K J,Jasa Angkutan Sped,9,50,1,PT (Perseroan Terbatas),Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,9,7,TIDAK LAYAK
Kios Bunga Pandan,Tanaman Hias,70,20,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,25,70,7,TIDAK LAYAK
Asranic Audio Variasi,Servis Variasi Mobil,250,80,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,50,250,11,TIDAK LAYAK
Pakan Ternak Rumaningsih,Pakan Ternak Uanggas,23,88,11,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,23,7,TIDAK LAYAK
Salon Fat,Perawatan,58,120,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,58,5,TIDAK LAYAK
Pot Bunga Zailani,Pot Bunga,100,90,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,100,6,TIDAK LAYAK
Tani Sejahtera,Palawija Dan Sayuran,99,207,15,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,28,99,6,TIDAK LAYAK
Usaha Lele Hadi,Ikan Lele,75,240,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,32,75,4,TIDAK LAYAK
Mandiri Tani,Palawija Dan Sayuran,150,152,10,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,150,6,TIDAK LAYAK
Sumber Rezeki,Ayam,500,4752,7,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,225,500,9,LAYAK
Ukm Pembuatan Gula Merah,Gula Kabung,100,72,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,100,8,TIDAK LAYAK
Madu Pelawan,Madu Manis Dan Pahit,200,200,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,200,200,10,TIDAK LAYAK
Budidaya Ikan Tawar,Ikan Lele,360,480,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,140,360,8,LAYAK
"Budidaya Ikan ""Udin""",Ikan Mas,180,84,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,180,8,TIDAK LAYAK
Bibit Sahang Ungul,Bibit Sahang,500,150,8,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,255,500,7,TIDAK LAYAK
"Tuan Lim ""Tauco Manis""",Pembuatan Tauco,150,109,7,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,84,150,13,TIDAK LAYAK
Kolam Ikan Pak De,Ikan Nila,91,22,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,91,6,TIDAK LAYAK
Budidaya Lele Amatdi,Lele,150,456,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,150,9,LAYAK
Sinar Alam Bintan,Tanaman Hias,145,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 70 %,0,90,145,8,TIDAK LAYAK
UD Cahaya Agribiz,Lada,602,16,10,Usaha Dagang (UD),Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,21,602,10,TIDAK LAYAK
Budidaya Lebah Madu,Madu,700,180,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,100,700,2,TIDAK LAYAK
Empang Ikan Air Tawar,Mujair. Nila. Bawal,230,105,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,230,7,TIDAK LAYAK
Supergen,Pembenihan Ikan,157,120,10,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,50,157,2,TIDAK LAYAK
Nubiru Koi,Ikan Koi,508,144,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 80 %,0,80,508,2,TIDAK LAYAK
Samahina,Ikan Tongkol,1315,1800,30,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,90,1315,2,LAYAK
Usaha Bibit Karet Imam,Bibit Karet,310,108,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,50,310,6,TIDAK LAYAK
Muara Benih,Benih Lele,1015,180,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,50,1015,6,TIDAK LAYAK
Pendederan Ikan Patin,Ikan Patin,160,180,10,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,160,2,TIDAK LAYAK
Usaha Siomay & Gorden,Siomay,219,115,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,107,5,TIDAK LAYAK
Warung Dinar,Lalapan,2,50,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,14,5,TIDAK LAYAK
Mie Ayam Surabaya,Mie Ayam,291,144,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,2,5,TIDAK LAYAK
Java Fried Chicken,Ayam Goreng,1804,684,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 60 %,0,12,190,8,LAYAK
Bakso Primagama,Bakso,3,144,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,13,6,TIDAK LAYAK
Bakso Sabar Keliling,Bakso,2,36,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,15,6,TIDAK LAYAK
Kost Putri Rusniah,Kamar Kost,23,11,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,25,18,5,TIDAK LAYAK
Qun's Cake & Bakery,Kue,1091,576,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,75,1015,8,LAYAK
Batagor Ikan 21,Batagor,24,216,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,15,5,TIDAK LAYAK
Depot Mie Fitri,Makanan,24,360,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,16,5,TIDAK LAYAK
UD Kuliner Tunas Subur,Nasi Goreng,43,720,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 95 %,0,4,14,4,TIDAK LAYAK
M Koffie,Kopi,864,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,40,14,3,TIDAK LAYAK
Warung Sekar,Nasi Ayam,198,144,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,4,14,3,TIDAK LAYAK
Terapi Kelapa Bakar 17+,Kelapa Bakar,252,19,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,4,14,3,TIDAK LAYAK
Nasi Kuning Rindang,Nasi Kuning,2,173,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,12,14,3,TIDAK LAYAK
Es Cincau Hijau Sarwagi,Es Cincau,5,72,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,14,3,TIDAK LAYAK
Warung Surabaya,Tahu Campur,103,144,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,80,13,5,TIDAK LAYAK
Kue Talam,Kue Talam,18,1,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,12,13,3,TIDAK LAYAK
Warung Makan Ilham,Ikan & Ayam Bakar,137,72,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 80 %,0,90,64,6,TIDAK LAYAK
Depot Murni,Bakso,18,54,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,14,5,TIDAK LAYAK
Empek-Empek Anda,Empek-Empek,1062,55,10,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,12,14,6,TIDAK LAYAK
Siomay Batagor Bandung,Siomay,8,540,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,15,14,6,TIDAK LAYAK
Narti Coffe,Coffe,7,24,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,14,6,TIDAK LAYAK
Mr. T. Pizza,Pizza,17,120,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,40,20,7,TIDAK LAYAK
Warung Buntu Kabobong,Makanan. Kopi. Teh. Cendol.Dll,549,255,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,150,350,10,TIDAK LAYAK
Karya Tri Tunggal,Keripik,41,130,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,6,5,TIDAK LAYAK
Dg. Riasi Tempe,Tempe,37,110,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,8,18,5,TIDAK LAYAK
Borobodor Dg. Kunnu,Kue Borobodor,2,82,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,4,10,3,TIDAK LAYAK
Nurul Hikmah,Kripik,3,75,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,0,3,TIDAK LAYAK
Hj. Riska Tempe,Tempe,103,175,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,466,5,TIDAK LAYAK
Usaha Kue Tradisional Rohani,Kue Sengkang,1,90,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,16,5,TIDAK LAYAK
Dhedhe Bakery,Roti,39,60,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,12,4,TIDAK LAYAK
Warung Ervina,Makanan,985,432,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,8,979,9,LAYAK
Warung Madiun Km. 3,Makanan,22,310,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,315,6,TIDAK LAYAK
Dhedhe Bakery,Roti,39,60,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,12,4,TIDAK LAYAK
Gorengan Mas Hary,Gorengan Tahu. Tempe. Bakwan. Pismol,7,324,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,10,3,TIDAK LAYAK
